"NAF","HS4","weight"
"1712Z",4802,0.09
"1712Z",4801,0.0846
"1712Z",4811,0.2032
"1712Z",4807,0.0039
"1712Z",4813,0.0589
"1712Z",4803,0.032
"1712Z",4810,0.1522
"1721A",4819,0.8066
"1721A",4808,0.1934
"1721B",4819,1
"1721C",4819,1
"1723Z",4820,0.3835
"1723Z",4823,0.5034
"1723Z",4817,0.1003
"1723Z",4816,0.0128
"1724Z",4814,0.8637
"1724Z",5905,0.1363
"1729Z",4813,0.4225
"1729Z",4823,0.3169
"1729Z",4812,0.0112
"1729Z",4822,0.0142
"1729Z",4821,0.2353
"1813Z",8442,1
"2059Z",3813,0.0013
"2059Z",3824,0.0001
"2059Z",3815,0.1159
"2059Z",3812,0.009
"2059Z",3811,0.268
"2059Z",3820,0.0057
"2059Z",3810,0.0078
"2059Z",3809,0.0362
"2059Z",3802,0.008
"2059Z",3707,0.0279
"2059Z",3703,0.0013
"2059Z",3702,0.0036
"2059Z",3701,0.0151
"2059Z",3502,0.0082
"2059Z",3501,0.0235
"2059Z",3403,0.1022
"2059Z",3215,0.0684
"2059Z",1518,0.0046
"2059Z",3503,0.0167
"2059Z",3504,0.0359
"2059Z",3817,0.0048
"2059Z",3818,0.0474
"2059Z",3826,0.0001
"2059Z",3822,0.1492
"2059Z",3821,0.0332
"2059Z",3819,0.0047
"2059Z",3407,0.0014
"2041Z",1520,0.0258
"2041Z",3402,0.6506
"2041Z",3401,0.0464
"2041Z",3404,0.0264
"2041Z",3405,0.0192
"2041Z",3307,0.2315
"2042Z",3304,0.5563
"2042Z",3401,0.0091
"2042Z",3307,0.0455
"2042Z",3306,0.0103
"2042Z",3305,0.058
"2042Z",3303,0.3208
"2051Z",3605,0.0018
"2051Z",3601,0.1029
"2051Z",3602,0.0724
"2051Z",3604,0.3351
"2051Z",3603,0.4878
"2052Z",3505,0.337
"2052Z",3503,0.1223
"2052Z",3501,0.1724
"2052Z",3506,0.3682
"2020Z",3808,1
"2060Z",5403,0.0072
"2060Z",5405,0.0002
"2060Z",5504,0.0112
"2060Z",5503,0.1753
"2060Z",5402,0.6527
"2060Z",5501,0.0876
"2060Z",5404,0.0277
"2060Z",5502,0.0381
"2017Z",4002,1
"2030Z",3214,0.1724
"2030Z",3814,0.0209
"2030Z",3207,0.0303
"2030Z",3209,0.1452
