"activitycode_1","activitycode_2","proximity"
"1610A","4399C",0.9995
"1610A","4613Z",0.9995
"1610A","4673A",0.1106111111
"1610A","6630Z",0.9995
"1610A","6820B",0.9995
"1610A","7010Z",0.9995
"1610A","8130Z",0.4995
"1610B","1610B",0.9995
"1610B","4329A",0.2495
"1610B","4332A",0.9995
"1610B","4391B",0.1995
"1610B","4399A",0.9995
"1610B","4399C",0.9995
"1610B","4399D",0.9995
"1610B","4673A",0.9995
"1610B","8129A",0.9995
"1621Z","1610A",0.9995
"1621Z","1623Z",0.9995
"1621Z","2365Z",0.9995
"1621Z","4399D",0.9995
"1621Z","4673A",0.9995
"1622Z","1610A",0.4995
"1622Z","3109B",0.9995
"1622Z","4332A",0.9995
"1623Z","1610A",0.9995
"1623Z","1623Z",0.1995
"1623Z","1624Z",0.9995
"1623Z","2223Z",0.4995
"1623Z","2512Z",0.9995
"1623Z","2550A",0.9995
"1623Z","3101Z",0.9995
"1623Z","3109B",0.3328333333
"1623Z","4120A",0.9995
"1623Z","4329B",0.9995
"1623Z","4332A",0.0764230769
"1623Z","4332B",0.9995
"1623Z","4332C",0.9995
"1623Z","4333Z",0.9995
"1623Z","4391A",0.1106111111
"1623Z","4391B",0.9995
"1623Z","4399C",0.4995
"1623Z","4673A",0.9995
"1623Z","4752A",0.9995
"1623Z","4759A",0.9995
"1623Z","4779Z",0.9995
"1623Z","9524Z",0.9995
"1624Z","1610A",0.9995
"1624Z","1623Z",0.4995
"1624Z","1624Z",0.9995
"1624Z","3311Z",0.9995
"1624Z","4673A",0.4995
"1624Z","5630Z",0.9995
"1624Z","6820B",0.9995
"1624Z","9329Z",0.9995
"1629Z","1610A",0.9995
"1629Z","1623Z",0.9995
"1629Z","1624Z",0.9995
"1629Z","1629Z",0.9995
"1629Z","3240Z",0.9995
"1629Z","4332A",0.4995
"1629Z","4669B",0.9995
"1629Z","4764Z",0.9995
"1629Z","4778C",0.9995
"1629Z","8559B",0.9995
"1629Z","9313Z",0.9995
"1629Z","9329Z",0.9995
"1712Z","1721B",0.9995
"1712Z","1723Z",0.9995
"1721A","1721B",0.4995
"1721B","1721A",0.3328333333
"1721B","1721C",0.9995
"1721B","1723Z",0.9995
"1721B","4669B",0.9995
"1721B","4676Z",0.9995
"1721C","1712Z",0.9995
"1721C","1729Z",0.9995
"1722Z","1722Z",0.9995
"1723Z","1723Z",0.9995
"1723Z","1729Z",0.4995
"1723Z","6832A",0.9995
"1723Z","7830Z",0.9995
"1729Z","1712Z",0.9995
"1729Z","1722Z",0.9995
"1729Z","1812Z",0.9995
"1729Z","4676Z",0.9995
"1729Z","7733Z",0.9995
"1811Z","7410Z",0.9995
"1812Z","1320Z",0.9995
"1812Z","1399Z",0.4995
"1812Z","1419Z",0.9995
"1812Z","1721C",0.9995
"1812Z","1811Z",0.9995
"1812Z","1812Z",0.2495
"1812Z","1813Z",0.1995
"1812Z","2611Z",0.9995
"1812Z","3030Z",0.9995
